date,season,holiday,weekday,workingday,weather,rentalcount
1/1/2011,1,0,6,0,2,985
1/2/2011,1,0,0,0,2,801
1/3/2011,1,0,1,1,1,1349
1/4/2011,1,0,2,1,1,1562
1/5/2011,1,0,3,1,1,1600
1/6/2011,1,0,4,1,1,1606
1/7/2011,1,0,5,1,2,1510
1/8/2011,1,0,6,0,2,959
1/9/2011,1,0,0,0,1,822
1/10/2011,1,0,1,1,1,1321
1/11/2011,1,0,2,1,2,1263
1/12/2011,1,0,3,1,1,1162
1/13/2011,1,0,4,1,1,1406
1/14/2011,1,0,5,1,1,1421
1/15/2011,1,0,6,0,2,1248
1/16/2011,1,0,0,0,1,1204
1/17/2011,1,1,1,0,2,1000
1/18/2011,1,0,2,1,2,683
1/19/2011,1,0,3,1,2,1650
1/20/2011,1,0,4,1,2,1927
1/21/2011,1,0,5,1,1,1543
1/22/2011,1,0,6,0,1,981
1/23/2011,1,0,0,0,1,986
1/24/2011,1,0,1,1,1,1416
1/25/2011,1,0,2,1,2,1985
1/26/2011,1,0,3,1,3,506
1/27/2011,1,0,4,1,1,431
1/28/2011,1,0,5,1,2,1167
1/29/2011,1,0,6,0,1,1098
1/30/2011,1,0,0,0,1,1096
1/31/2011,1,0,1,1,2,1501
2/1/2011,1,0,2,1,2,1360
2/2/2011,1,0,3,1,2,1526
2/3/2011,1,0,4,1,1,1550
2/4/2011,1,0,5,1,2,1708
2/5/2011,1,0,6,0,2,1005
2/6/2011,1,0,0,0,1,1623
2/7/2011,1,0,1,1,1,1712
2/8/2011,1,0,2,1,1,1530
2/9/2011,1,0,3,1,2,1605
2/10/2011,1,0,4,1,1,1538
2/11/2011,1,0,5,1,1,1746
2/12/2011,1,0,6,0,1,1472
2/13/2011,1,0,0,0,1,1589
2/14/2011,1,0,1,1,1,1913
2/15/2011,1,0,2,1,1,1815
2/16/2011,1,0,3,1,1,2115
2/17/2011,1,0,4,1,1,2475
2/18/2011,1,0,5,1,1,2927
2/19/2011,1,0,6,0,1,1635
2/20/2011,1,0,0,0,1,1812
2/21/2011,1,1,1,0,2,1107
2/22/2011,1,0,2,1,1,1450
2/23/2011,1,0,3,1,1,1917
2/24/2011,1,0,4,1,2,1807
2/25/2011,1,0,5,1,2,1461
2/26/2011,1,0,6,0,1,1969
2/27/2011,1,0,0,0,1,2402
2/28/2011,1,0,1,1,2,1446
3/1/2011,1,0,2,1,1,1851
3/2/2011,1,0,3,1,1,2134
3/3/2011,1,0,4,1,1,1685
3/4/2011,1,0,5,1,2,1944
3/5/2011,1,0,6,0,2,2077
3/6/2011,1,0,0,0,2,605
3/7/2011,1,0,1,1,1,1872
3/8/2011,1,0,2,1,1,2133
3/9/2011,1,0,3,1,2,1891
3/10/2011,1,0,4,1,3,623
3/11/2011,1,0,5,1,2,1977
3/12/2011,1,0,6,0,1,2132
3/13/2011,1,0,0,0,1,2417
3/14/2011,1,0,1,1,1,2046
3/15/2011,1,0,2,1,2,2056
3/16/2011,1,0,3,1,2,2192
3/17/2011,1,0,4,1,1,2744
3/18/2011,1,0,5,1,1,3239
3/19/2011,1,0,6,0,1,3117
3/20/2011,1,0,0,0,1,2471
3/21/2011,2,0,1,1,2,2077
3/22/2011,2,0,2,1,1,2703
3/23/2011,2,0,3,1,2,2121
3/24/2011,2,0,4,1,2,1865
3/25/2011,2,0,5,1,1,2210
3/26/2011,2,0,6,0,1,2496
3/27/2011,2,0,0,0,2,1693
3/28/2011,2,0,1,1,1,2028
3/29/2011,2,0,2,1,1,2425
3/30/2011,2,0,3,1,2,1536
3/31/2011,2,0,4,1,3,1685
4/1/2011,2,0,5,1,2,2227
4/2/2011,2,0,6,0,2,2252
4/3/2011,2,0,0,0,1,3249
4/4/2011,2,0,1,1,1,3115
4/5/2011,2,0,2,1,2,1795
4/6/2011,2,0,3,1,1,2808
4/7/2011,2,0,4,1,1,3141
4/8/2011,2,0,5,1,2,1471
4/9/2011,2,0,6,0,2,2455
4/10/2011,2,0,0,0,2,2895
4/11/2011,2,0,1,1,2,3348
4/12/2011,2,0,2,1,2,2034
4/13/2011,2,0,3,1,2,2162
4/14/2011,2,0,4,1,1,3267
4/15/2011,2,1,5,0,1,3126
4/16/2011,2,0,6,0,3,795
4/17/2011,2,0,0,0,1,3744
4/18/2011,2,0,1,1,1,3429
4/19/2011,2,0,2,1,2,3204
4/20/2011,2,0,3,1,1,3944
4/21/2011,2,0,4,1,1,4189
4/22/2011,2,0,5,1,2,1683
4/23/2011,2,0,6,0,2,4036
4/24/2011,2,0,0,0,2,4191
4/25/2011,2,0,1,1,1,4073
4/26/2011,2,0,2,1,1,4400
4/27/2011,2,0,3,1,2,3872
4/28/2011,2,0,4,1,2,4058
4/29/2011,2,0,5,1,1,4595
4/30/2011,2,0,6,0,1,5312
5/1/2011,2,0,0,0,2,3351
5/2/2011,2,0,1,1,2,4401
5/3/2011,2,0,2,1,2,4451
5/4/2011,2,0,3,1,2,2633
5/5/2011,2,0,4,1,1,4433
5/6/2011,2,0,5,1,1,4608
5/7/2011,2,0,6,0,1,4714
5/8/2011,2,0,0,0,1,4333
5/9/2011,2,0,1,1,1,4362
5/10/2011,2,0,2,1,1,4803
5/11/2011,2,0,3,1,1,4182
5/12/2011,2,0,4,1,1,4864
5/13/2011,2,0,5,1,2,4105
5/14/2011,2,0,6,0,2,3409
5/15/2011,2,0,0,0,2,4553
5/16/2011,2,0,1,1,1,3958
5/17/2011,2,0,2,1,2,4123
5/18/2011,2,0,3,1,2,3855
5/19/2011,2,0,4,1,2,4575
5/20/2011,2,0,5,1,1,4917
5/21/2011,2,0,6,0,1,5805
5/22/2011,2,0,0,0,1,4660
5/23/2011,2,0,1,1,2,4274
5/24/2011,2,0,2,1,2,4492
5/25/2011,2,0,3,1,1,4978
5/26/2011,2,0,4,1,1,4677
5/27/2011,2,0,5,1,1,4679
5/28/2011,2,0,6,0,1,4758
5/29/2011,2,0,0,0,1,4788
5/30/2011,2,1,1,0,1,4098
5/31/2011,2,0,2,1,1,3982
6/1/2011,2,0,3,1,2,3974
6/2/2011,2,0,4,1,1,4968
6/3/2011,2,0,5,1,1,5312
6/4/2011,2,0,6,0,1,5342
6/5/2011,2,0,0,0,2,4906
6/6/2011,2,0,1,1,1,4548
6/7/2011,2,0,2,1,1,4833
6/8/2011,2,0,3,1,1,4401
6/9/2011,2,0,4,1,2,3915
6/10/2011,2,0,5,1,1,4586
6/11/2011,2,0,6,0,1,4966
6/12/2011,2,0,0,0,1,4460
6/13/2011,2,0,1,1,1,5020
6/14/2011,2,0,2,1,1,4891
6/15/2011,2,0,3,1,1,5180
6/16/2011,2,0,4,1,2,3767
6/17/2011,2,0,5,1,1,4844
6/18/2011,2,0,6,0,1,5119
