Duration,Src_Bytes,Dest_Bytes,Class
-2.3026,5.2155,4.8211,0
-2.3026,5.0882,8.4181,0
-2.3026,5.2938,10.716,0
-2.3026,5.3895,7.1983,0
-2.3026,5.3618,9.1649,0
-2.3026,5.3986,6.7179,0
-2.3026,5.4852,5.5649,0
-2.3026,5.4935,7.9114,0
-2.3026,5.5417,6.8691,0
-2.3026,5.1066,8.1887,0
-2.3026,5.4076,7.1476,0
-2.3026,5.3088,10.558,0
-2.3026,5.0695,8.2918,0
-2.3026,5.3664,9.6131,0
-2.3026,5.3038,6.05,0
-2.3026,5.5338,6.254,0
-2.3026,5.7841,6.05,0
-2.3026,5.6907,6.05,0
-2.3026,5.6025,7.5746,0
-2.3026,5.6025,9.688,0
-2.3026,5.7465,5.6805,0
-2.3026,5.1879,7.2328,0
-2.3026,5.4852,7.4582,0
-2.3026,5.4727,5.7174,0
-2.3026,5.7529,8.4029,0
-2.3026,5.7994,7.694,0
-2.3026,5.7903,6.1487,0
-2.3026,5.4121,7.0485,0
-2.3026,5.4852,7.6798,0
-2.3026,5.4935,7.7324,0
-2.3026,5.4727,7.632,0
-2.3026,5.46,8.1912,0
-2.3026,5.4515,9.0786,0
-2.3026,5.4935,7.7324,0
-2.3026,5.7369,5.7174,0
-2.3026,5.3476,7.632,0
-2.3026,5.3895,7.601,0
-2.3026,5.8204,5.7994,0
-2.3026,5.5839,6.0756,0
-2.3026,5.7497,11.088,0
-2.3026,5.8582,6.8856,0
-2.3026,5.8639,6.8815,0
-2.3026,5.1879,6.6095,0
-2.3026,5.1879,6.6095,0
-2.3026,5.4811,9.4985,0
-2.3026,5.4298,8.3969,0
-2.3026,5.1711,9.1017,0
-2.3026,5.3664,8.2906,0
-2.3026,5.4342,8.3008,0
-2.3026,5.7433,10.672,0
-2.3026,5.3235,10.72,0
-2.3026,5.4643,7.3716,0
-2.3026,5.421,6.0802,0
-2.3026,5.6941,9.1396,0
-2.3026,5.3284,6.0733,0
-2.3026,5.6974,9.4756,0
-2.3026,5.6668,7.7329,0
-2.3026,5.7465,8.7477,0
-2.3026,5.3428,10.203,0
-2.3026,5.385,9.6577,0
-2.3026,5.6351,10.203,0
-2.3026,5.778,7.4266,0
-2.3026,5.7749,7.3778,0
-2.3026,5.4472,7.5364,0
-2.3026,5.4515,7.4056,0
-2.3026,5.4472,7.4092,0
-2.3026,5.7239,7.4507,0
-2.3026,5.7174,7.4266,0
-2.3026,5.6839,7.4461,0
-2.3026,5.6493,10.109,0
-2.3026,5.4557,7.449,0
-2.3026,5.5179,7.4056,0
-2.3026,5.4429,7.449,0
-2.3026,5.6351,8.2423,0
-2.3026,5.7718,7.4092,0
-2.3026,5.7433,10.109,0
