call_no,incident_type,type_description,address,alarm_time,alarms,primary_unit,census_tract,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
F160029985,111,Building fire,"800 BLOCK CENTER ST, WILKINSBURG PA 15221",2016-04-21T05:01:04,1,231EN16,NA,,,,42003560600,,,,16-Mar,40.44127547,-79.88248508
F180022058,111,Building fire,"1100 BLOCK JANE ST, WILKINSBURG PA 15221",2018-03-13T08:34:43,1,231EN16,NA,,,,42003561000,,,,21-Mar,40.43634228,-79.88100295
F180022102,131,Passenger vehicle fire,"SB STATE HWY 28 SB AT 31S, PITTSBURGH PA 15212",2018-03-13T11:54:23,0,231EN32,2406,,,,,,,,1-1A,,
F170043431,131,Passenger vehicle fire,"1700 BLOCK BELLEAU DR, PITTSBURGH PA 15212",2017-05-31T08:39:47,0,231EN38,2509,Fineview,6,25,42003250900,1,25,1,10-Jan,40.46030258,-80.00698007
F180021111,111,Building fire,"2400 BLOCK VILLAGE RD, PITTSBURGH PA 15205",2018-03-09T10:26:42,1,231EN31,2808,Fairywood,2,28,42003563000,5,28,6,16-Jan,40.4490093,-80.07660742
F180021782,150,"Outside rubbish fire, Other","S 7TH ST & E CARSON ST, PITTSBURGH PA 15203",2018-03-12T09:13:28,0,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,2-Apr,40.42861769,-79.99223882
F180022495,113,"Cooking fire, confined to container","200 BLOCK E OHIO ST, PITTSBURGH PA 15212",2018-03-14T19:46:10,1,231EN32,2204,Allegheny Center,1,22,42003562700,1,22,1,6-Jan,40.45302239,-80.00366043
F180022546,111,Building fire,"7000 BLOCK LEMINGTON AVE, PITTSBURGH PA 15206",2018-03-14T23:49:22,1,231EN15,1203,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,18-Mar,40.47135812,-79.89824
F180022773,111,Building fire,"100 BLOCK SPENCER AVE, PITTSBURGH PA 15227",2018-03-15T20:39:05,1,231EN23,2904,Carrick,4,29,42003290400,4,29,3,15-Apr,40.38549396,-79.97720011
F170044316,131,Passenger vehicle fire,"1200 BLOCK WESTFIELD ST, PITTSBURGH PA 15216",2017-06-03T01:31:13,0,231EN28,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41521902,-80.01951585
F130085568,151,"Outside rubbish, trash or waste fire","600 BLOCK LILLIAN ST, PITTSBURGH PA 15210",2013-11-30T09:18:34,0,231EN27,1803,Allentown,3,18,42003180300,4,18,3,21-Apr,40.41848399,-79.99717741
F150016873,118,"Trash or rubbish fire, contained","400 BLOCK BELTZHOOVER AVE, PITTSBURGH PA 15210",2015-03-02T10:42:18,1,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,21-Apr,40.41901427,-79.99751374
F170044809,113,"Cooking fire, confined to container","700 BLOCK N AVE, WILKINSBURG PA 15221",2017-06-04T20:27:43,1,231EN16,NA,,,,42003563900,,,,16-Mar,40.4164123,-79.84370837
F180022999,111,Building fire,"1300 BLOCK OAKMONT ST, PITTSBURGH PA 15205",2018-03-16T18:10:46,1,231EN29,2815,Crafton Heights,2,28,42003281500,5,28,6,18-Jan,40.43992672,-80.05613003
F180023098,142,Brush or brush-and-grass mixture fire,"7400 BLOCK MONTICELLO ST, PITTSBURGH PA 15208",2018-03-17T01:56:20,0,231EN17,1302,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45831363,-79.89101264
F180023267,160,"Special outside fire, Other","5300 BLOCK BARTLETT RD, PITTSBURGH PA 15217",2018-03-17T17:44:17,0,231EN18,1413,Squirrel Hill South,5,14,42003980500,3,14,4,21-Feb,40.43280288,-79.93639658
F180022545,111,Building fire,"100 BLOCK DUNLAP ST, PITTSBURGH PA 15214",2018-03-14T23:47:36,1,231EN34,2607,Perry North,1,26,42003260700,1,26,1,15-Jan,40.48636694,-80.01465152
F170043228,151,"Outside rubbish, trash or waste fire","900 BLOCK MANTON WAY, PITTSBURGH PA 15210",2017-05-30T14:29:20,0,231EN22,1803,Allentown,3,18,42003180300,4,18,3,6-Apr,40.42127288,-79.99200501
F180023277,131,Passenger vehicle fire,"1400 BLOCK CRESSON ST, WILKINSBURG PA 15221",2018-03-17T18:50:09,0,231EN16,NA,,,,42003561100,,,,16-Mar,40.44548947,-79.87826201
F180023327,111,Building fire,"2700 BLOCK BARNETT WAY, PITTSBURGH PA 15219",2018-03-17T21:48:27,1,231EN10,509,Bedford Dwellings,6,5,42003050100,3,5,2,5-Feb,40.4512339,-79.96998758
F130085648,130,"Mobile property (vehicle) fire, Other","7700 BLOCK BENNETT ST, PITTSBURGH PA 15208",2013-11-30T16:18:28,0,231EN15,1304,Homewood South,9,13,42003130400,2,13,5,17-Mar,40.45454133,-79.88846176
F130085676,111,Building fire,"800 BLOCK SPRING GARDEN AVE, PITTSBURGH PA 15212",2013-11-30T19:40:30,3,231EN32,2304,East Allegheny,1,23,42003563200,1,23,1,5-Jan,40.45737706,-79.99773926
F170043259,111,Building fire,"7100 BLOCK HERMITAGE ST, PITTSBURGH PA 15208",2017-05-30T16:19:44,1,231EN15,1302,Homewood North,9,13,42003130200,2,13,5,18-Mar,40.46065773,-79.89748551
F180023081,113,"Cooking fire, confined to container","5500 BLOCK COVODE ST, PITTSBURGH PA 15217",2018-03-16T23:47:06,1,231EN18,1413,Squirrel Hill South,5,14,42003141300,3,14,4,21-Feb,40.43130062,-79.93028224
F180023397,111,Building fire,"600 BLOCK ESTELLA AVE, PITTSBURGH PA 15210",2018-03-18T06:52:53,1,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,21-Apr,40.41740071,-80.00047669
F180022822,111,Building fire,"300 BLOCK DINWIDDIE ST, PITTSBURGH PA 15220",2018-03-16T02:11:33,1,231EN04,305,Crawford-Roberts,6,3,42003030500,3,3,2,1-Feb,40.44132702,-79.98048444
F180023390,151,"Outside rubbish, trash or waste fire","200 BLOCK HAMMOND ST, PITTSBURGH PA 15204",2018-03-18T05:22:08,0,231EN31,2018,Sheraden,2,20,42003562500,5,20,6,16-Jan,40.45677171,-80.04851498
F180023465,113,"Cooking fire, confined to container","7200 BLOCK BENNETT ST, PITTSBURGH PA 15208",2018-03-18T13:20:33,1,231EN17,1303,Homewood South,9,13,42003130300,2,13,5,17-Mar,40.45640769,-79.89666478
F150016903,111,Building fire,"600 BLOCK DUFF ST, PITTSBURGH PA 15213",2015-03-02T13:21:44,1,231EN10,501,Middle Hill,6,5,42003050100,3,5,2,5-Feb,40.44815736,-79.97264959
F180023350,150,"Outside rubbish fire, Other","100 BLOCK S 22ND ST, PITTSBURGH PA 15203",2018-03-18T00:20:22,0,231EN24,1609,South Side Flats,3,16,42003160900,4,16,3,24-Apr,40.42778281,-79.9748527
F180023669,111,Building fire,"1100 BLOCK SPERLING DR, WILKINSBURG PA 15221",2018-03-19T10:11:38,2,231EN16,NA,,,,42003516200,,,,21-Mar,40.43526992,-79.87423838
F170043408,113,"Cooking fire, confined to container","2500 BLOCK PENN AVE, PITTSBURGH PA 15222",2017-05-31T07:12:40,1,231EN03,203,Strip District,7,2,42003020300,6,2,2,25-Feb,40.4539207,-79.979763
F180023494,116,"Fuel burner/boiler malfunction, fire confined","1800 BLOCK CALISTOGA ST, PITTSBURGH PA 15221",2018-03-18T16:23:01,1,231EN16,1306,East Hills,9,13,42003130600,2,13,5,19-Mar,40.45131324,-79.87720929
F180023555,130,"Mobile property (vehicle) fire, Other","SAXON WAY & APPLE AVE, PITTSBURGH PA 15206",2018-03-18T21:28:00,0,231EN15,1301,Homewood North,9,13,42003130100,2,13,5,18-Mar,40.46243537,-79.89432913
F180023570,111,Building fire,"1300 BLOCK OAKGLEN ST, PITTSBURGH PA 15204",2018-03-18T22:55:30,1,231EN31,2814,Crafton Heights,2,28,42003281400,5,28,6,16-Jan,40.45003262,-80.05947045
F160016540,113,"Cooking fire, confined to container","5500 BLOCK BLACK ST, PITTSBURGH PA 15208",2016-03-02T13:28:17,1,231EN08,1114,Garfield,9,11,42003111400,2,11,5,4-Mar,40.46938767,-79.92987748
F160066215,113,"Cooking fire, confined to container","3400 BLOCK BEECHWOOD BLVD, PITTSBURGH PA 15207",2016-08-22T12:47:57,1,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,15-Feb,40.4205815,-79.92704485
F170043595,111,Building fire,"700 BLOCK MONTCLAIR ST, PITTSBURGH PA 15207",2017-05-31T16:23:42,1,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,12-Feb,40.420419,-79.93313859
F130085743,151,"Outside rubbish, trash or waste fire","ANDERSON ST & LACOCK ST, PITTSBURGH PA 15212",2013-12-01T02:39:06,0,231EN32,2205,North Shore,1,23,42003563200,6,23,1,20-Jan,40.44975449,-80.00101256
F130085772,113,"Cooking fire, confined to container","1100 BLOCK BUENTE ST, PITTSBURGH PA 15212",2013-12-01T08:17:23,1,231EN38,2620,Spring Hill-City View,1,26,42003262000,1,26,1,11-Jan,40.46661658,-79.99554483
F130085905,151,"Outside rubbish, trash or waste fire","ALLEN ST & MCLAIN ST, PITTSBURGH PA 15210",2013-12-01T21:04:35,0,231EN27,1803,Allentown,3,18,42003180300,4,18,3,5-Apr,40.42423883,-79.9938934
F130086165,113,"Cooking fire, confined to container","600 BLOCK PENN AVE, PITTSBURGH PA 15222",2013-12-02T22:52:25,1,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44258495,-80.00178951
F160030674,113,"Cooking fire, confined to container","5600 BLOCK FORWARD AVE, PITTSBURGH PA 15217",2016-04-23T14:14:03,1,231EN18,1414,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,40.4277518,-79.92709834
F130019545,111,Building fire,"600 BLOCK HERRON AVE, PITTSBURGH PA 15219",2013-03-22T03:46:01,3,231EN10,506,Upper Hill,6,5,42003050600,3,5,2,5-Feb,40.45092063,-79.96488838
F170043731,151,"Outside rubbish, trash or waste fire","1300 BLOCK PENNSYLVANIA AVE, PITTSBURGH PA 15233",2017-05-31T22:05:03,0,231EN37,2107,Manchester,6,21,42003210700,1,21,1,8-Jan,40.45437498,-80.02482011
F170043748,113,"Cooking fire, confined to container","4600 BLOCK BROWNS HILL RD, PITTSBURGH PA 15207",2017-06-01T00:33:06,1,231EN12,1414,Squirrel Hill South,5,15,42003141400,3,15,4,12-Feb,40.41559424,-79.9249411
F130086394,112,Fires in structure other than in a building,"200 BLOCK VINELAND ST, PITTSBURGH PA 15234",2013-12-03T19:29:34,1,231EN26,3207,Overbrook,4,32,42003320700,4,32,3,25-Apr,40.38660951,-79.99807691
F130086433,130,"Mobile property (vehicle) fire, Other","33RD BLOCK ST & LIBERTY AVE, PITTSBURGH PA 15219",2013-12-04T01:44:28,0,231EN06,603,Polish Hill,7,6,42003060500,6,6,2,2-Mar,40.46101229,-79.9680741
F130086455,131,Passenger vehicle fire,"5800 BLOCK FORWARD AVE, PITTSBURGH PA 15217",2013-12-04T07:07:16,0,231EN18,1408,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,40.4295955,-79.92335695
F130086641,131,Passenger vehicle fire,"SAW MILL RUN BLVD & PROVOST, PITTSBURGH PA 15210",2013-12-04T18:54:47,0,231EN26,3204,Overbrook,4,32,42003320400,4,32,3,25-Apr,40.37977871,-79.99402806
F180026870,111,Building fire,"00 BLOCK N DUANE AVE ING, INGRAM PA 15205",2018-03-30T22:51:04,1,231EN31,NA,,,,42003464300,,,,16-Jan,40.44197168,-80.07570219
F180027502,151,"Outside rubbish, trash or waste fire","100 BLOCK SCHENLEY MANOR DR, PITTSBURGH PA 15201",2018-04-02T09:50:42,0,231EN07,1005,Central Lawrenceville,9,10,42003100500,2,10,2,7-Mar,40.47555988,-79.94006611
F130086712,151,"Outside rubbish, trash or waste fire","BROWNS HILL RD & BEECHWOOD, PITTSBURGH PA 15217",2013-12-05T05:18:28,0,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,12-Feb,40.41960747,-79.92715138
F130086866,113,"Cooking fire, confined to container","900 BLOCK BROOKLINE BLVD, PITTSBURGH PA 15226",2013-12-05T15:17:14,1,231EN26,1918,Brookline,4,19,42003191800,4,19,6,26-Apr,40.39287148,-80.01918649
F170054699,111,Building fire,"00 BLOCK NINA WAY, PITTSBURGH PA 15210",2017-07-05T00:47:50,4,231TK26,1809,Beltzhoover,3,18,42003562400,4,18,3,16-Apr,40.42017975,-80.00597412
F130086963,113,"Cooking fire, confined to container","1600 BLOCK PENN AVE, PITTSBURGH PA 15221",2013-12-05T20:21:18,1,231EN16,NA,,,,42003561500,,,,20-Mar,40.44241769,-79.86756942
F160016874,111,Building fire,"1100 BLOCK PAULSON AVE, PITTSBURGH PA 15206",2016-03-03T18:25:59,1,231EN15,1203,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,15-Mar,40.46706575,-79.90580773
F130087056,113,"Cooking fire, confined to container","1800 BLOCK CALISTOGA ST, PITTSBURGH PA 15208",2013-12-06T08:34:19,1,231EN17,1306,East Hills,9,13,42003130600,2,13,5,19-Mar,40.45131324,-79.87720929
F180027277,111,Building fire,"100 BLOCK SCHENLEY MANOR DR, PITTSBURGH PA 15201",2018-04-01T13:52:39,1,231EN07,1005,Central Lawrenceville,9,10,42003100500,2,10,2,7-Mar,40.47555988,-79.94006611
F180020179,113,"Cooking fire, confined to container","2300 BLOCK CALIFORNIA AVE, PITTSBURGH PA 15212",2018-03-05T17:53:31,1,231EN37,2704,Marshall-Shadeland,1,27,42003980900,1,27,1,9-Jan,40.46239315,-80.03103749
F130087314,111,Building fire,"2300 BLOCK ALMONT ST, PITTSBURGH PA 15210",2013-12-07T07:49:10,1,231EN23,2904,Carrick,4,29,42003290400,4,29,3,23-Apr,40.38816554,-79.98830534
F130087492,131,Passenger vehicle fire,"100 BLOCK ROUND TOP ST, PITTSBURGH PA 15220",2013-12-08T01:17:40,0,231EN29,2815,Crafton Heights,2,28,42003281500,5,28,6,18-Jan,40.4418105,-80.05438395
F130087678,113,"Cooking fire, confined to container","300 BLOCK N CRAIG ST, PITTSBURGH PA 15213",2013-12-08T19:23:40,1,231EN06,507,North Oakland,8,4,42003040400,3,4,4,9-Feb,40.44559065,-79.94938724
F130088036,150,"Outside rubbish fire, Other","2ND BLOCK AVE & BRADY ST, PITTSBURGH PA 15219",2013-12-10T08:44:29,0,231EN04,409,South Oakland,6,4,42003980800,3,4,4,2-Feb,40.43580697,-79.97263218
F180021666,151,"Outside rubbish, trash or waste fire","900 BLOCK PENN AVE, PITTSBURGH PA 15222",2018-03-11T18:16:50,0,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.4436107,-79.99804356
F130088039,111,Building fire,"4000 BLOCK HALDANE ST, PITTSBURGH PA 15207",2013-12-10T08:50:54,1,231EN12,1516,Greenfield,5,15,42003151600,3,15,4,12-Feb,40.42531897,-79.94328155
F130088128,131,Passenger vehicle fire,"200 BLOCK SEBRING AVE, PITTSBURGH PA 15216",2013-12-10T14:43:54,0,231EN28,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41247935,-80.01410037
F130088208,138,Off-road vehicle or heavy equipment fire,"FRANKSTOWN AVE & BENNETT ST, PITTSBURGH PA 15208",2013-12-11T04:37:45,0,231EN17,1301,Homewood West,9,12,42003120700,2,12,5,17-Mar,40.45808634,-79.90458639
F130088397,111,Building fire,"1200 BLOCK FRANKLIN AVE, PITTSBURGH PA 15221",2013-12-11T18:05:55,1,231EN16,NA,,,,42003561000,,,,21-Mar,40.43821006,-79.87727052
F130088553,113,"Cooking fire, confined to container","2400 BLOCK LAKETON RD, PITTSBURGH PA 15221",2013-12-12T10:44:19,1,231EN17,NA,,,,42003561400,,,,20-Mar,40.45462147,-79.858158
F130088628,151,"Outside rubbish, trash or waste fire","6100 BLOCK PENN AVE, PITTSBURGH PA 15208",2013-12-12T15:55:23,0,231EN18,1115,East Liberty,9,8,42003111500,2,8,5,8-Mar,40.46070679,-79.92378078
F170043767,131,Passenger vehicle fire,"5100 BLOCK LADORA WAY, PITTSBURGH PA 15207",2017-06-01T05:01:34,0,231EN13,1501,Hazelwood,5,15,42003562900,3,15,4,13-Feb,40.40639442,-79.94715988
F180023689,150,"Outside rubbish fire, Other","200 BLOCK BLACKSTONE ST, PITTSBURGH PA 15207",2018-03-19T11:25:38,0,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,12-Feb,40.41635373,-79.93407931
F180023822,118,"Trash or rubbish fire, contained","2400 BLOCK PIONEER AVE, PITTSBURGH PA 15226",2018-03-19T19:51:38,1,231EN26,1919,Brookline,4,19,42003191900,4,19,6,26-Apr,40.39922987,-80.02138284
F180023835,118,"Trash or rubbish fire, contained","300 BLOCK HAMERSCHLAG DR, PITTSBURGH PA 15217",2018-03-19T20:50:07,1,231EN18,1401,Squirrel Hill North,8,14,42003140100,3,14,4,8-Feb,40.44293236,-79.94555263
F180024328,162,Outside equipment fire,"00 BLOCK DAPPER WAY, PITTSBURGH PA 15206",2018-03-21T15:11:52,0,231EN08,807,Friendship,7,8,42003080700,2,8,5,11-Mar,40.45763947,-79.93439319
