Date,IBM,AAPL,GOOG,MSFT,INTC,FB,AMZN,C
1/2/2013,196.350006,549.029976,723.25123,27.620001,21.379999,28,257.309998,41.25
1/3/2013,195.270004,542.099991,723.671256,27.25,21.32,27.77,258.480011,41.389999
1/4/2013,193.990005,526.999992,737.971262,26.74,21.16,28.76,259.149994,42.43
1/7/2013,193.139999,523.900002,734.751286,26.690001,21.25,29.42,268.459991,42.470001
1/8/2013,192.869995,525.31002,733.301227,26.549999,21.09,29.059999,266.380005,42.459999
1/9/2013,192.320007,517.100006,738.121237,26.700001,21.450001,30.59,266.350006,42.040001
1/10/2013,192.880005,523.509979,741.481263,26.459999,21.799999,31.299999,265.339996,42.830002
1/11/2013,194.449997,520.300026,739.99126,26.83,22,31.719999,267.940002,42.34
1/14/2013,192.619995,501.750015,723.25123,26.889999,22,30.950001,272.730011,42.220001
1/15/2013,192.5,485.920013,724.931273,27.209999,21.879999,30.1,271.899994,42.57
1/16/2013,192.589996,506.089981,715.191211,27.040001,22.110001,29.85,268.929993,42.48
1/17/2013,193.649994,502.680023,711.321223,27.25,22.68,30.139999,270.480011,41.240002
1/18/2013,194.470001,500.000015,704.511235,27.25,21.25,29.66,272.119995,41.66
1/22/2013,196.080002,504.770004,702.871197,27.15,21.17,30.73,270.190002,41.779999
1/23/2013,204.720001,514.010002,741.501296,27.610001,21.110001,30.82,268.109985,42.02
1/24/2013,204.419998,450.499977,754.211317,27.629999,20.950001,31.08,273.459991,42.799999
1/25/2013,204.970001,439.880001,753.671274,27.879999,20.959999,31.540001,283.98999,42.91
1/28/2013,204.929993,449.830002,750.731274,27.91,21.049999,32.470001,276.040009,42.34
1/29/2013,203.899994,458.269981,753.681322,28.01,21.280001,30.790001,260.350006,42.16
1/30/2013,203.520004,456.830002,753.831296,27.85,21.370001,31.24,272.76001,41.950001
1/31/2013,203.070007,455.489998,755.691272,27.450001,21.040001,30.98,265.5,42.16
2/1/2013,205.179993,453.619995,775.601349,27.93,21.360001,29.73,265,43.02
2/4/2013,203.789993,442.320004,759.021279,27.440001,21.16,28.110001,259.980011,42.209999
2/5/2013,202.789993,457.840012,765.741331,27.5,21.18,28.639999,266.890015,42.919998
2/6/2013,201.020004,457.350014,770.171333,27.34,20.99,29.049999,262.220001,43.049999
2/7/2013,199.740005,468.220009,773.951324,27.280001,20.809999,28.65,260.230011,42.869999
2/8/2013,201.679993,474.980003,785.371369,27.549999,21,28.549999,261.950012,42.68
2/11/2013,200.160004,479.930023,782.421322,27.860001,21.030001,28.26,257.209991,43.150002
2/12/2013,200.039993,467.900002,780.701335,27.879999,21.190001,27.370001,258.700012,44.349998
2/13/2013,200.089996,467.009995,782.861321,28.030001,21.25,27.91,269.470001,44
2/14/2013,199.649994,466.590012,787.82138,28.040001,21.23,28.5,269.23999,44.32
2/15/2013,200.979996,460.160011,792.891346,28.01,21.120001,28.32,265.089996,43.84
2/19/2013,200.320007,459.990021,806.851398,28.049999,21.09,28.93,269.75,44.5
2/20/2013,199.309998,448.850006,792.461334,27.870001,20.73,28.459999,266.410004,43.220001
